,PLAYER,GROSS P/W,GROSS P/Y,CONTRACT EXP.,CLUB,AGE,POS BASIC,POS SPECIFIC,NATIONALITY
0,Harry Kane,"€ 480,769","€ 25,000,000","Jun 30, 2027",Bayern Munich,30,Starter,F,England
1,Manuel Neuer,"€ 403,846","€ 21,000,000","Jun 30, 2025",Bayern Munich,37,Reserve,K,Germany
2,Thomas Müller,"€ 394,231","€ 20,500,000","Jun 30, 2024",Bayern Munich,33,Starter,F,Germany
3,Leroy Sané,"€ 384,615","€ 20,000,000","Jun 30, 2025",Bayern Munich,27,Starter,F,Germany
4,Joshua Kimmich,"€ 375,000","€ 19,500,000","Jun 30, 2025",Bayern Munich,28,Starter,M,Germany
5,Serge Gnabry,"€ 362,885","€ 18,870,000","Jun 30, 2026",Bayern Munich,28,Reserve,F,Germany
6,Leon Goretzka,"€ 346,154","€ 18,000,000","Jun 30, 2026",Bayern Munich,28,Starter,M,Germany
7,Kingsley Coman,"€ 326,923","€ 17,000,000","Jun 30, 2027",Bayern Munich,27,Starter,F,France
8,Matthijs de Ligt,"€ 307,692","€ 16,000,000","Jun 30, 2027",Bayern Munich,24,Reserve,D,Netherlands
9,Min-jae Kim,"€ 230,769","€ 12,000,000","Jun 30, 2028",Bayern Munich,26,Starter,D,South Korea
10,Alphonso Davies,"€ 216,346","€ 11,250,000","Jun 30, 2025",Bayern Munich,22,Starter,D,Canada
11,Sébastien Haller,"€ 211,538","€ 11,000,000","Jun 30, 2026",Borussia Dortmund,29,Starter,F,Cote d'Ivoire
12,Dayot Upamecano,"€ 192,308","€ 10,000,000","Jun 30, 2026",Bayern Munich,24,Starter,D,France
13,Timo Werner,"€ 192,308","€ 10,000,000","Jun 30, 2026",Leipzig,27,Reserve,F,Germany
14,Niklas Süle,"€ 192,308","€ 10,000,000","Jun 30, 2026",Borussia Dortmund,28,Reserve,D,Germany
15,Dani Olmo,"€ 181,346","€ 9,430,000","Jun 30, 2027",Leipzig,25,Starter,F,Spain
16,Gregor Kobel,"€ 173,077","€ 9,000,000","Jun 30, 2028",Borussia Dortmund,25,Starter,K,Switzerland
17,Konrad Laimer,"€ 173,077","€ 9,000,000","Jun 30, 2027",Bayern Munich,26,Reserve,M,Austria
