teamhome,teamaway,goalshome,goalsaway,pointslocal,pointsvisitor,date
Bor. Moenchengladbach,Bayern Muenchen,1,1,1,1,2021-08-13
VfL Wolfsburg,VfL Bochum,1,0,3,0,2021-08-13
1. FC Union Berlin,Bayer 04 Leverkusen,1,1,1,1,2021-08-13
VfB Stuttgart,SpVgg Greuther Fuerth,5,1,3,0,2021-08-13
FC Augsburg,TSG Hoffenheim,0,4,0,3,2021-08-13
Arminia Bielefeld,SC Freiburg,0,0,1,1,2021-08-13
Borussia Dortmund,Eintracht Frankfurt,5,2,3,0,2021-08-13
1. FSV Mainz 05,RB Leipzig,1,0,3,0,2021-08-13
1. FC Koeln,Hertha BSC,3,1,3,0,2021-08-13
RB Leipzig,VfB Stuttgart,4,0,3,0,2021-08-20
Eintracht Frankfurt,FC Augsburg,0,0,1,1,2021-08-20
SC Freiburg,Borussia Dortmund,2,1,3,0,2021-08-20
Hertha BSC,VfL Wolfsburg,1,2,0,3,2021-08-20
VfL Bochum,1. FSV Mainz 05,2,0,3,0,2021-08-20
SpVgg Greuther Fuerth,Arminia Bielefeld,1,1,1,1,2021-08-20
Bayer 04 Leverkusen,Bor. Moenchengladbach,4,0,3,0,2021-08-20
TSG Hoffenheim,1. FC Union Berlin,2,2,1,1,2021-08-20
Bayern Muenchen,1. FC Koeln,3,2,3,0,2021-08-20
Borussia Dortmund,TSG Hoffenheim,3,2,3,0,2021-08-27
VfB Stuttgart,SC Freiburg,2,3,0,3,2021-08-27
1. FSV Mainz 05,SpVgg Greuther Fuerth,3,0,3,0,2021-08-27
FC Augsburg,Bayer 04 Leverkusen,1,4,0,3,2021-08-27
Arminia Bielefeld,Eintracht Frankfurt,1,1,1,1,2021-08-27
1. FC Koeln,VfL Bochum,2,1,3,0,2021-08-27
Bayern Muenchen,Hertha BSC,5,0,3,0,2021-08-27
1. FC Union Berlin,Bor. Moenchengladbach,2,1,3,0,2021-08-27
VfL Wolfsburg,RB Leipzig,1,0,3,0,2021-08-27
Bayer 04 Leverkusen,Borussia Dortmund,3,4,0,3,2021-09-11
1. FC Union Berlin,FC Augsburg,0,0,1,1,2021-09-11
SC Freiburg,1. FC Koeln,1,1,1,1,2021-09-11
TSG Hoffenheim,1. FSV Mainz 05,0,2,0,3,2021-09-11
SpVgg Greuther Fuerth,VfL Wolfsburg,0,2,0,3,2021-09-11
RB Leipzig,Bayern Muenchen,1,4,0,3,2021-09-11
Eintracht Frankfurt,VfB Stuttgart,1,1,1,1,2021-09-11
VfL Bochum,Hertha BSC,1,3,0,3,2021-09-11
Bor. Moenchengladbach,Arminia Bielefeld,3,1,3,0,2021-09-11
Hertha BSC,SpVgg Greuther Fuerth,2,1,3,0,2021-09-17
Bayern Muenchen,VfL Bochum,7,0,3,0,2021-09-17
1. FSV Mainz 05,SC Freiburg,0,0,1,1,2021-09-17
FC Augsburg,Bor. Moenchengladbach,1,0,3,0,2021-09-17
Arminia Bielefeld,TSG Hoffenheim,0,0,1,1,2021-09-17
1. FC Koeln,RB Leipzig,1,1,1,1,2021-09-17
VfB Stuttgart,Bayer 04 Leverkusen,1,3,0,3,2021-09-17
Borussia Dortmund,1. FC Union Berlin,4,2,3,0,2021-09-17
VfL Wolfsburg,Eintracht Frankfurt,1,1,1,1,2021-09-17
SpVgg Greuther Fuerth,Bayern Muenchen,1,3,0,3,2021-09-24
RB Leipzig,Hertha BSC,6,0,3,0,2021-09-24
Eintracht Frankfurt,1. FC Koeln,1,1,1,1,2021-09-24
Bayer 04 Leverkusen,1. FSV Mainz 05,1,0,3,0,2021-09-24
1. FC Union Berlin,Arminia Bielefeld,1,0,3,0,2021-09-24
TSG Hoffenheim,VfL Wolfsburg,3,1,3,0,2021-09-24
Bor. Moenchengladbach,Borussia Dortmund,1,0,3,0,2021-09-24
VfL Bochum,VfB Stuttgart,0,0,1,1,2021-09-24
SC Freiburg,FC Augsburg,3,0,3,0,2021-09-24
1. FC Koeln,SpVgg Greuther Fuerth,3,1,3,0,2021-10-01
Borussia Dortmund,FC Augsburg,2,1,3,0,2021-10-01
VfL Wolfsburg,Bor. Moenchengladbach,1,3,0,3,2021-10-01
VfB Stuttgart,TSG Hoffenheim,3,1,3,0,2021-10-01
Hertha BSC,SC Freiburg,1,2,0,3,2021-10-01
RB Leipzig,VfL Bochum,3,0,3,0,2021-10-01
